DriveID,Driver,Vehicle,GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Miles Per Gallon(Instant)(mpg),Mass Air Flow Rate(cfm),Accel Pedal Pos #1(%)
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:26:54 CST 2013,26:54.3,-86.74279672,34.58731802,0.5,3,175.1000061,0,-0.15567628,8.16462135,5.95521593,0.07170376,0,66.73796844,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:26:56 CST 2013,26:55.3,-86.7427969,34.58731795,0.5,3,175.1000061,0,-0.23830444,8.34544563,6.07017708,0.07122427,0,67.54010773,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:26:57 CST 2013,26:56.3,-86.742797,34.58731785,0.5,3,175,0,-0.44786865,8.44244385,6.00551128,0.0746372,0,66.01603699,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:26:58 CST 2013,26:57.3,-86.74279709,34.58731781,0.5,3,175,0,-0.26584718,8.32269287,6.11807728,0.0746548,0,66.1764679,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:26:59 CST 2013,26:58.3,-86.74279714,34.58731774,0.5,3,175,0,-0.20477417,8.36580276,6.03544903,0.07075471,0,66.97861481,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:00 CST 2013,26:59.3,-86.74279723,34.58731772,0.5,3,174.8999939,0,-0.26105714,8.29036045,6.0306592,0.064372,0,66.1764679,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:00 CST 2013,27:00.3,-86.74279723,34.58731772,0.5,3,174.8999939,0,-0.41074586,8.47836876,6.16597795,0.08846575,0,66.49732208,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:01 CST 2013,27:01.4,-86.74279733,34.58731772,0.5,3,174.8999939,0,-0.3305127,8.44004917,6.08215189,0.09016345,0,66.01603699,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:02 CST 2013,27:02.3,-86.7427974,34.58731776,0.5,3,174.8999939,0,-0.22273682,8.27598953,6.03664684,0.07611032,0,66.01603699,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:02 CST 2013,27:03.4,-86.7427974,34.58731776,0.5,3,174.8999939,0,-0.1101709,8.41729641,6.37075186,0.0804047,0,66.01603699,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:05 CST 2013,27:04.3,-86.74279755,34.58731769,0.5,3,174.8999939,0,-0.2323169,8.44244385,6.2725563,0.08555096,0,66.01603699,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:05 CST 2013,27:05.3,-86.74279755,34.58731769,0.5,3,174.8999939,0,-0.16884887,8.25922489,6.25698853,0.07335143,0,32.32620621,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:07 CST 2013,27:06.3,-86.74279789,34.58731597,0.70710677,3,173.6999969,247.3,-0.06227051,8.10115337,6.1348424,0.05489475,0,32.32620621,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:08 CST 2013,27:07.3,-86.74279576,34.58731519,0.70710677,3,172.3999939,247.3,-0.24908203,8.12630081,6.0869422,0.05429691,0,32.32620621,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:09 CST 2013,27:08.3,-86.74279435,34.58731517,0.70710677,3,171.1999969,247.3,0.00479004,8.15264606,6.15160751,0.06009334,0,32.32620621,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:10 CST 2013,27:09.3,-86.74279731,34.58731781,0.9013878,3,170.3999939,247.3,-0.25506958,8.3167057,5.87737799,0.05743641,0,32.32620621,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:11 CST 2013,27:10.3,-86.74279546,34.58731766,0.70710677,3,169.1000061,247.3,-0.2945874,8.75020409,5.69296122,0.08355719,0,32.32620621,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:12 CST 2013,27:11.3,-86.74279199,34.58730953,0.559017,3,167.5,247.3,-0.57480466,8.45681381,6.20310068,0.08970791,4.6281004,28.39572144,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:13 CST 2013,27:12.3,-86.74279219,34.58730585,0.5,3,166.6000061,0,-0.13052857,8.05445099,6.04862165,0.04586858,4.6281004,28.39572144,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:14 CST 2013,27:13.3,-86.7427945,34.58730525,0.5,3,166.1000061,0,-0.59276736,8.77654934,6.15400267,0.0733768,0,28.39572144,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:15 CST 2013,27:14.3,-86.742794,34.58730241,0.5,3,165.3999939,0,-0.35087037,8.2640152,6.0593996,0.07576168,0,28.31550789,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:16 CST 2013,27:15.3,-86.74279286,34.58730019,0.5,3,165,0,-0.10897339,8.27838516,6.32644415,0.07031552,0,28.1550808,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:17 CST 2013,27:16.3,-86.74279343,34.58730174,0.559017,3,165,247.3,-0.1592688,8.17060947,6.29770374,0.07070571,0,28.31550789,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:17 CST 2013,27:17.3,-86.74279343,34.58730174,0.559017,3,165,247.3,-0.2323169,8.07361126,6.18154526,0.05579633,0,28.31550789,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:19 CST 2013,27:18.3,-86.74279174,34.58730697,0.9013878,3,163.1999969,341.2,-0.60474241,8.76936436,5.37562132,0.06931895,0,28.31550789,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:20 CST 2013,27:19.3,-86.74279399,34.58731385,0.9013878,3,163,340.9,-0.54486692,8.64003277,6.09053469,0.0979982,0,28.31550789,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:21 CST 2013,27:20.3,-86.74279741,34.58732102,0.9013878,3,163,340.9,-0.30296996,9.02922344,5.24748802,0.08400685,0,28.39572144,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:22 CST 2013,27:21.3,-86.74280145,34.58732742,0.9013878,3,162.6999969,340.9,-0.29937744,8.58015728,5.61272812,0.06459254,0,28.39572144,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:22 CST 2013,27:22.3,-86.74280145,34.58732742,0.9013878,3,162.6999969,340.9,-0.03233276,8.49393654,6.19471788,0.09065849,5.46972036,28.31550789,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:23 CST 2013,27:23.3,-86.74280405,34.58733373,0.9013878,3,162.3999939,340.9,0.8849597,7.46407843,6.63180923,0.04079372,5.46972036,28.31550789,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:24 CST 2013,27:24.3,-86.74280619,34.58734094,0.9013878,3,161.6999969,346.7,-0.14968872,8.29634762,6.15280533,0.07200664,5.46972036,28.31550789,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:26 CST 2013,27:25.3,-86.742809,34.5873582,1.118034,4,160.8000031,348.8,-0.03951782,8.1466589,6.37314701,0.07337648,5.46972036,28.31550789,15.68627453
Tim - Mon Nov 18 07:26:54 CST 2013,Tim,Prius,Mon Nov 18 07:27:26 CST 2013,27:26.3,-86.742809,34.5873582,1.118034,4,160.8000031,348.8,0.2335144,8.64602089,5.42831182,0.05992776,7.33451557,28.1550808,15.68627453
